time_start,client1,client2,time_end
892005,9,42,892848.0
940750,12,28,941128.0
944229,12,28,945634.0
947010,11,16,947010.5
949345,12,11,949345.5
949368,12,16,949368.5
954416,12,11,957557.0
954438,12,16,957580.0
955681,12,44,955684.0
957196,12,17,957196.5
959271,12,11,959896.0
959332,12,17,959332.5
961105,9,20,961105.5
962245,6,21,962257.0
962632,6,22,962632.5
963140,9,8,963140.5
972630,2,16,974308.0
972900,11,2,974280.0
973215,10,8,976782.0
973618,10,22,973618.5
973803,11,16,973803.5
974129,12,16,974129.5
974146,12,2,976786.0
976015,12,16,978145.0
978162,12,2,978162.5
979521,10,8,980921.0
982577,9,42,982577.5
1047301,9,44,1047306.0
1049039,2,13,1051098.0
1049086,2,16,1051147.0
1049114,2,0,1051175.0
1055495,9,16,1057129.0
1058808,11,13,1061095.0
1058855,11,0,1061142.0
1058861,11,2,1061149.0
1059279,9,42,1059279.5
1461869,11,0,1463412.0
1550528,12,44,1550528.5
1554451,11,38,1557163.0
1558110,12,11,1558538.0
1558171,12,38,1558595.0
1560093,12,11,1561471.0
1560152,12,17,1560540.0
1563153,9,21,1563153.5
1564001,9,1,1564858.0
1565282,12,11,1565282.5
1565340,12,44,1565340.5
1566118,9,44,1566118.5
1577751,11,16,1580066.0
1577780,11,38,1580929.0
1577891,12,13,1578266.0
1577902,12,11,1578278.0
1577925,12,16,1578301.0
1577959,12,38,1578335.0
1578098,11,13,1580792.0
1578128,10,21,1579585.0
1581961,12,13,1583306.0
1581975,12,11,1583320.0
1581996,12,16,1584195.0
1582031,12,38,1583375.0
1638028,9,16,1638028.5
1652907,9,24,1654980.0
1654433,11,2,1654820.0
1655146,2,0,1656814.0
1655380,9,2,1658284.0
1655529,2,16,1656783.0
1655581,11,16,1655581.5
1655585,11,0,1655585.5
1656209,9,24,1658294.0
1656428,2,24,1656842.0
1721793,6,24,1722940.0
1722923,9,6,1722923.5
1722924,9,24,1724220.0
1725606,11,9,1727532.0
1726069,6,11,1726846.0
1728005,9,6,1728005.5
1728447,6,11,1730095.0
1738574,9,8,1738574.5
1740256,9,8,1740256.5
1753546,10,39,1754247.0
1807122,9,42,1807229.0
1813306,9,6,1813306.5
1817977,9,6,1817977.5
1819295,6,18,1822336.0
1820813,6,39,1820813.5
1851290,9,19,1853277.0
1851291,9,42,1851587.0
1855079,9,19,1855502.0
1896801,9,19,1896801.5
1900472,9,19,1900472.5
2149865,12,28,2151011.0
2149869,12,24,2151011.0
2150190,12,11,2150190.5
2150233,12,2,2151000.0
2150451,11,2,2150451.5
2150456,2,24,2153391.0
2150466,11,24,2150479.0
2152460,12,2,2152460.5
2152473,12,28,2152473.5
2152476,12,24,2152476.5
2152978,2,21,2152978.5
2154043,12,2,2155576.0
2154054,12,24,2155587.0
2154058,12,28,2155589.0
2154488,12,21,2154488.5
2156451,9,2,2156451.5
2156464,9,1,2156464.5
2156886,9,39,2158161.0
2158140,9,2,2159437.0
2160776,9,39,2162040.0
2161177,9,2,2162020.0
2161807,12,16,2162897.0
2165423,9,24,2165423.5
2168793,9,20,2168793.5
2179359,9,42,2181885.0
2183150,9,42,2186534.0
2192479,10,22,2192479.5
2265439,2,16,2266698.0
2329436,9,6,2329854.0
2329730,8,6,2329730.5
2330936,8,24,2331755.0
2333208,9,24,2334468.0
2423288,6,18,2426328.0
2429363,6,36,2429375.0
2429364,6,20,2431655.0
2670621,9,42,2671048.0
2677949,7,9,2679837.0
2756129,11,24,2758084.0
2761742,10,9,2764505.0
2762186,10,1,2765346.0
2763845,12,11,2766515.0
2763946,9,1,2763946.5
2764630,12,16,2766538.0
2764935,11,16,2767244.0
2772515,10,1,2772515.5
2774038,10,9,2776884.0
2778215,10,9,2780930.0
2779316,10,8,2780923.0
2782165,10,8,2782165.5
2783411,10,22,2784998.0
2787111,11,24,2789349.0
2789680,11,20,2789680.5
2789894,10,22,2790685.0
2793724,10,22,2794645.0
2795076,9,19,2795076.5
